INFO 2025-08-04 17:00:33,678 autoreload 10228 13136 Watching for file changes with StatReloader
WARNING 2025-08-04 22:21:36,411 log 10228 8344 Not Found: /api/get-question/
WARNING 2025-08-04 22:21:36,412 basehttp 10228 8344 "GET /api/get-question/?letter=%D8%B9&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 22:21:40,094 log 10228 8344 Not Found: /api/get-question/
WARNING 2025-08-04 22:21:40,095 basehttp 10228 8344 "GET /api/get-question/?letter=%D8%A3&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 22:21:42,939 log 10228 8344 Not Found: /api/get-question/
WARNING 2025-08-04 22:21:42,940 basehttp 10228 8344 "GET /api/get-question/?letter=%D8%A8&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 22:21:49,847 log 10228 8344 Not Found: /api/update-scores/
WARNING 2025-08-04 22:21:49,848 basehttp 10228 8344 "POST /api/update-scores/ HTTP/1.1" 404 3184
WARNING 2025-08-04 22:21:50,953 log 10228 8344 Not Found: /api/update-scores/
WARNING 2025-08-04 22:21:50,954 basehttp 10228 8344 "POST /api/update-scores/ HTTP/1.1" 404 3184
WARNING 2025-08-04 22:21:56,194 log 10228 8344 Not Found: /api/get-question/
WARNING 2025-08-04 22:21:56,195 basehttp 10228 8344 "GET /api/get-question/?letter=%D8%AD&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 22:21:56,742 log 10228 8344 Not Found: /api/update-cell-state/
